State	Age18_24	Age25_34	Age35_44	Age45_54	Age55_64	Age65orMore	Female	EdLtHS	EdHSGED	EdHSPlus	EdCollege	HealthExcell	HealthVGood	HealthGood	HealthFair	HealthPoor	SmokeEveryDay	SmokeSomeDays	SmokeFormer	SmokeNever	AlcoholAny	AlcoholBinge	FruitVeg5
Georgia	13.4	18.8	19.4	19.0	14.6	14.7	51.4	17.1	30.1	28.2	24.6	18.5	30.4	32.2	13.6	5.3	14.3	6.9	22.1	56.7	50.8	16.6	24.5
Guam	16.9	19.6	21.5	18.9	13.1	10.0	49.0	20.6	33.8	19.7	26.0	17.7	21.1	42.8	13.2	5.2	21.1	9.4	14.6	54.9	41.8	18.3	24.3
Hawaii	11.9	18.8	16.9	17.4	15.8	19.3	50.0	10.1	30.4	32.8	26.7	21.0	27.1	36.9	11.1	3.9	12.2	4.7	25.9	57.3	53.1	21.5	23.5
Idaho	14.1	18.4	16.9	17.9	15.6	17.1	50.2	12.5	29.7	36.1	21.7	20.3	32.0	32.2	10.8	4.6	12.4	4.8	24.4	58.5	48.9	16.6	24.6
Illinois	13.2	18.0	17.8	19.0	15.1	16.9	51.3	14.1	28.1	30.0	27.8	17.2	32.8	32.6	13.3	4.1	14.3	6.6	24.4	54.7	60.7	23.0	22.5
Indiana	13.4	17.1	17.3	19.0	15.6	17.7	51.3	14.6	35.4	29.5	20.5	15.5	32.5	33.1	13.4	5.5	19.4	6.2	24.7	49.7	51.6	17.8	20.6
Iowa	13.6	16.0	15.9	18.7	16.1	19.8	51.1	10.3	33.3	33.8	22.6	18.4	36.8	31.9	9.9	3.1	15.5	4.8	25.0	54.6	60.6	23.1	18.5
Kansas	14.0	17.5	16.5	18.7	15.6	17.8	50.9	11.3	28.9	33.3	26.5	17.7	36.2	31.1	10.9	4.1	16.9	5.1	22.4	55.6	51.6	17.0	18.6
Kentucky	12.5	17.3	17.4	18.8	16.0	18.0	51.6	18.8	34.2	28.2	18.7	15.9	29.7	32.1	14.7	7.6	23.6	5.4	24.3	46.8	43.1	16.1	21.1
Louisiana	13.8	18.6	16.6	18.6	15.5	17.0	52.2	19.4	34.5	27.3	18.9	16.9	28.8	31.4	16.0	6.9	19.3	6.4	22.0	52.3	49.6	16.1	16.9
Maine	11.1	14.3	15.9	20.2	18.1	20.4	51.8	10.7	35.1	29.7	24.5	18.4	35.3	30.4	11.8	4.2	17.6	5.2	31.6	45.6	60.5	17.3	28.0
Maryland	12.3	17.3	17.9	20.1	15.8	16.7	52.3	12.6	27.1	27.5	32.8	21.9	33.9	30.1	11.1	3.1	13.7	5.4	22.6	58.3	57.8	18.0	27.6
Massachusetts	12.7	16.6	17.4	19.7	15.8	18.0	52.1	11.3	27.0	26.3	35.4	22.6	34.4	29.0	10.5	3.6	13.3	4.9	28.3	53.5	64.5	20.6	26.2
Michigan	13.1	15.7	16.9	19.6	16.5	18.2	51.4	12.5	31.2	33.5	22.8	16.2	33.9	32.7	12.4	4.8	17.3	6.0	25.7	51.0	57.6	19.7	22.6
Minnesota	12.8	17.4	17.0	19.8	15.7	17.3	50.7	9.3	27.9	34.0	28.8	20.8	37.5	29.6	9.0	3.0	13.2	5.9	26.2	54.7	63.6	22.1	21.9
Mississippi	14.4	17.9	16.7	18.1	15.2	17.7	52.3	20.5	30.8	31.2	17.5	14.2	28.4	33.4	16.5	7.5	18.8	7.1	21.3	52.8	42.1	14.2	16.8
Missouri	12.9	17.2	16.6	19.0	15.8	18.6	51.8	14.3	32.4	30.3	23.0	17.9	30.9	33.0	12.7	5.5	19.4	5.6	25.0	50.0	52.5	19.2	19.9
Montana	12.9	15.8	14.8	19.0	18.0	19.5	50.3	9.9	31.7	33.3	25.1	18.8	33.9	30.1	12.0	5.3	16.4	5.7	26.9	51.0	58.7	20.8	25.7
Nebraska	14.2	17.4	16.1	18.4	15.5	18.4	50.9	10.5	29.4	34.9	25.2	17.6	35.8	32.2	11.0	3.3	14.5	5.4	24.3	55.7	61.8	22.7	20.9
Nevada	11.7	19.5	19.0	18.3	15.3	16.3	49.4	16.6	30.4	33.2	19.9	20.7	27.6	31.5	14.7	5.6	18.0	4.9	24.6	52.5	57.0	18.6	23.7
New Hampshire	12.4	14.5	16.9	21.1	17.0	18.0	51.2	9.5	30.0	30.3	30.2	20.8	36.7	28.8	9.9	3.8	15.4	4.1	29.2	51.4	65.8	18.7	27.9
New Jersey	11.3	16.4	18.2	20.3	15.7	18.1	51.6	12.9	29.9	25.0	32.3	22.0	31.7	30.2	12.4	3.8	11.4	5.5	25.8	57.4	61.4	18.2	26.4
New Mexico	13.1	18.6	16.3	18.1	16.0	18.0	51.0	18.0	27.6	31.7	22.7	17.7	28.1	34.3	14.1	5.8	13.5	7.9	24.9	53.6	51.0	16.4	23.2
New York	12.5	17.4	17.4	19.2	15.6	17.9	52.1	15.5	28.1	26.5	29.9	19.0	31.9	32.2	12.2	4.7	12.1	6.0	25.4	56.5	60.1	19.6	26.8
North Carolina	12.9	17.2	18.2	18.7	15.6	17.4	51.7	16.7	28.5	31.0	23.8	18.0	31.5	30.9	14.0	5.6	15.6	6.2	24.8	53.4	48.0	15.2	20.6
North Dakota	16.8	16.8	14.1	17.6	15.4	19.3	50.0	10.3	28.1	38.0	23.6	17.9	35.9	31.5	11.8	3.0	15.9	5.9	25.3	52.9	62.4	23.8	22.5
Ohio	12.3	16.6	16.8	19.3	16.2	18.8	51.9	13.0	35.4	29.3	22.3	17.1	33.4	31.5	13.4	4.6	19.1	6.0	25.2	49.7	55.9	20.1	21.0
Oklahoma	13.8	18.2	16.3	18.0	15.4	18.4	51.2	15.2	32.7	31.7	20.4	15.5	29.7	34.6	13.9	6.3	19.9	6.2	24.7	49.2	45.6	16.5	14.6
Oregon	12.2	16.3	17.0	18.6	17.5	18.6	50.8	12.2	26.3	35.4	26.1	19.3	34.1	29.1	12.9	4.7	14.4	5.4	27.5	52.8	59.4	16.5	26.3
Pennsylvania	12.3	15.6	16.3	19.2	16.3	20.4	52.0	12.7	37.1	25.7	24.5	18.6	33.6	31.0	12.3	4.5	16.9	5.6	25.4	52.2	57.2	18.3	24.1
Puerto Rico	14.6	19.2	18.5	16.9	14.1	16.7	53.1	30.6	25.8	24.2	19.4	18.6	12.0	35.0	30.3	4.1	10.8	4.0	18.8	66.4	34.1	15.3	17.7
Rhode Island	13.2	15.9	16.8	19.5	15.9	18.7	52.2	15.7	28.1	28.7	27.5	18.0	33.4	31.2	12.6	4.8	14.4	5.7	27.7	52.2	62.5	19.7	26.1
South Carolina	12.8	17.1	17.0	18.3	16.3	18.6	52.1	17.2	31.5	29.6	21.8	18.1	31.6	31.3	12.7	6.4	16.6	6.6	24.0	52.8	47.0	15.4	17.4
South Dakota	13.9	17.0	15.1	18.2	16.1	19.7	50.4	11.6	32.2	33.3	22.9	19.0	34.5	31.8	11.7	3.0	15.5	7.6	25.5	51.5	58.8	22.1	15.7
Tennessee	12.1	17.3	17.6	18.8	16.0	18.1	51.9	17.4	33.7	28.0	20.9	17.9	31.3	29.8	13.1	7.8	18.3	4.7	23.8	53.2	37.5	10.0	23.3
Texas	13.9	19.7	18.9	18.5	14.2	14.7	50.6	20.0	26.9	30.0	23.1	16.8	28.8	35.3	14.0	5.0	12.0	7.2	21.8	59.0	54.3	18.9	23.8
Utah	17.2	22.8	18.2	16.0	12.6	13.3	50.1	10.2	25.7	38.8	25.4	22.9	33.0	30.6	9.9	3.6	8.5	3.3	16.0	72.2	29.5	12.0	23.3
Vermont	13.2	14.2	15.5	20.1	18.1	18.9	51.3	9.5	32.0	28.3	30.2	20.4	37.4	29.3	9.8	3.1	14.7	4.4	30.8	50.1	65.1	18.5	29.3
Virginia	12.9	17.2	18.2	19.4	15.6	16.7	51.3	13.8	26.8	28.5	30.9	21.7	33.1	28.5	11.5	5.2	15.0	5.9	23.6	55.5	56.0	17.9	27.3
Washington	12.4	18.4	17.5	19.0	16.2	16.5	50.5	11.3	25.2	35.4	28.1	19.2	33.3	31.4	12.0	4.2	12.1	5.4	26.0	56.5	57.9	17.8	28.6
West Virginia	11.9	15.4	16.1	18.3	17.5	20.8	51.5	17.9	40.5	25.4	16.1	13.4	28.2	33.4	16.4	8.7	23.8	4.9	23.5	47.9	31.8	10.1	25.1
Wisconsin	13.2	16.3	16.6	19.7	16.1	18.2	50.7	11.0	33.8	31.6	23.6	20.1	34.9	30.4	10.9	3.6	14.9	6.0	26.2	52.9	67.1	24.3	16.2
Wyoming	14.0	18.3	15.5	18.6	16.9	16.9	49.4	9.5	31.5	37.8	21.2	19.5	33.5	31.6	10.6	4.8	17.5	5.5	26.2	50.8	54.0	18.9	22.7
